rxn,rxnName,GPR,lowMean,highMean,deltaFlux,absDeltaFlux,lowRange,highRange,rangeChange
DURAD2,"Dihydrothymin dehydrogenase (NADP)",ZMO1_ZMO1116,0.63472096730797,5.05936713737995,4.42464617007198,4.42464617007198,1998.73055806538,1989.88126572524,-8.84929234014385
DURAD3,"Dihydrouracil dehydrogenase (NAD)",,-0.63472096730797,-5.05936713737498,-4.42464617006701,4.42464617006701,1998.73055806538,1989.88126572525,-8.84929234013384
ATPS4rpp,"ATP synthase (four protons for one ATP) (periplasm)",ZMO1_ZMO0241 and ZMO1_ZMO0242 and ZMO1_ZMO2005 and ZMO1_ZMO0239 and ZMO1_ZMO0238 and ZMO1_ZMO0240 and ZMO1_ZMO0671 and ZMO1_ZMO0669 and ZMO1_ZMO0668 and ZMO1_ZMO0667,-0.31657997520848,-2.39870579231615,-2.08212581710767,2.08212581710767,0.000232975360797902,1.05712506410782e-05,-0.000222404110156824
CO2tpp,"CO2 transporter via diffusion (periplasm)",,-18.9218486531399,-19.586763885843,-0.66491523270318,0.66491523270318,0.000768301054176135,0.00182546191967248,0.00105716086549634
EX_co2_e,"CO2 exchange",,18.9218639514755,19.5867717285704,0.66490777709485,0.66490777709485,0.000737704246725812,0.00184114727938223,0.00110344303265641
CO2tex,"CO2 transport via diffusion (extracellular to periplasm)",,-18.9218639514755,-19.5867717285704,-0.66490777709485,0.66490777709485,0.000737704246725812,0.00184114727938223,0.00110344303265641
PPA,"Inorganic diphosphatase",ZMO1_ZMO1507,0.196187467946044,0.802181763689294,0.60599429574325,0.60599429574325,0.00210264011360292,0.000662310378814215,-0.00144032973478871
NH4tpp,"Ammonia reversible transport (periplasm)",( ZMO1_ZMO0346 ),0.624930749009764,0.204408684024432,-0.420522064985332,0.420522064985332,0.000123430981262163,5.27126462146477e-06,-0.000118159716640698
NH4tex,"Ammonia transport via diffusion (extracellular to periplasm)",,0.624930749037539,0.204408692635132,-0.420522056402407,0.420522056402407,0.00012343102589818,5.28848624065104e-06,-0.000118142539657529
EX_nh4_e,"Ammonia exchange",,-0.624930749037539,-0.204408692635132,0.420522056402407,0.420522056402407,0.00012343102589818,5.28848624065104e-06,-0.000118142539657529
EX_fe3_e,"Fe3+ exchange",,-3.80012661549297e-05,0.368992050004383,0.369030051270538,0.369030051270538,4.57805174899697e-05,1.17667330589558e-05,-3.40137844310138e-05
FE3tex,"Iron (III) transport via diffusion (extracellular to periplasm)",,3.80012661549297e-05,-0.368992050004383,-0.369030051270538,0.369030051270538,4.57805174899697e-05,1.17667330589558e-05,-3.40137844310138e-05
EX_fe2_e,"Fe2+ exchange",,-2.2408340779231e-05,-0.369011659817517,-0.368989251476737,0.368989251476737,4.4816681558462e-05,1.11492503833688e-05,-3.36674311750933e-05
FE2tex,"Iron (II) transport via diffusion (extracellular to periplasm)",,2.2408340779231e-05,0.369011659817517,0.368989251476737,0.368989251476737,4.4816681558462e-05,1.11492503833688e-05,-3.36674311750933e-05
GLUDy,"Glutamate dehydrogenase (NADP)",( ZMO1_ZMO1116 and ZMO1_ZMO1117 ),-0.543919697507367,-0.177916560368946,0.366003137138421,0.366003137138421,0.129142283303302,0.0421936572364459,-0.086948626066856
ADK3,"Adentylate kinase (GTP)",ZMO1_ZMO0538,0.0700359723959139,0.299667530797194,0.22963155840128,0.22963155840128,1999.85992805521,1999.40066493841,-0.459263116802504
ADK1,"Adenylate kinase",ZMO1_ZMO0538,0.0700359723955444,0.299667530794153,0.229631558398609,0.229631558398609,1999.85992805521,1999.40066493841,-0.459263116797274
G6PDH2r,"Glucose 6-phosphate dehydrogenase",ZMO1_ZMO0367,4.96410653789957,5.16508336883248,0.200976830932916,0.200976830932916,1990.0717869242,1989.66983326234,-0.401953661865718
GPDDA2,"Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)",,8.0671327417077e-06,0.184504635629284,0.184496568496542,0.184496568496542,1.61342654834154e-05,3.18606719005024e-06,-1.29481982933652e-05
AEPPYRTA,"2 aminoethylphosphonate pyruvate transaminase",ZMO1_ZMOp33x012,7.35061417216375e-06,0.184503042596264,0.184495691982091,0.184495691982091,1.47012283443275e-05,2.57793786317961e-13,-1.47012280865337e-05
PALDH,"Phosphonoacetaldehyde hydrolase",,7.35061417216375e-06,0.184503042596264,0.184495691982091,0.184495691982091,1.47012283443275e-05,2.57793786317961e-13,-1.47012280865337e-05
2AMIOXIDASE,"2-Aminoethylphosphonate oxidase reaction",ZMO1_ZMO0006 or ZMO1_ZMO1271,-7.35061417216375e-06,-0.184502926610429,-0.184495575996257,0.184495575996257,1.47012283443275e-05,-2.319714096366e-07,-1.49331997539641e-05
AACPS6,"Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)",ZMO1_ZMO0704,2.0650023091783e-05,0.184504364720871,0.184483714697779,0.184483714697779,4.13000461835659e-05,0.369008729441742,0.368967429395558
AACPS2,"Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)",ZMO1_ZMO0704,3.08775224931927e-05,0.184504370462766,0.184473492940273,0.184473492940273,6.17550449863854e-05,0.369008740925532,0.368946985880545
AACPS1,"Acyl-[acyl-carrier-protein] synthetase (n-C14:0)",ZMO1_ZMO0704,4.51539813585541e-05,0.184509039200209,0.18446388521885,0.18446388521885,9.03079627171082e-05,0.369018078400418,0.368927770437701
AACPS7,"Acyl-[acyl-carrier-protein] synthetase  (n-C12:0)",ZMO1_ZMO0704,0.000135540339158367,0.184548382935166,0.184412842596008,0.184412842596008,0.000125800024454929,0.369014153834187,0.368888353809732
AACPS4,"Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)",ZMO1_ZMO0704,0.000275254407738965,0.184594293148879,0.18431903874114,0.18431903874114,0.000131943366116012,0.369011770024169,0.368879826658053
AACPS3,"Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)",ZMO1_ZMO0704,0.000700283987274746,0.184736659340277,0.184036375353002,0.184036375353002,0.000111540860947969,0.369011758548014,0.368900217687066
CYTK1,"Cytidylate kinase (CMP)",ZMO1_ZMO1797,0.00683893859456227,0.186739867478173,0.179900928883611,0.179900928883611,6.36458652594498e-05,2.63993335858793e-06,-6.10059319008619e-05
AACPS5,"Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)",ZMO1_ZMO0704,0.0123636312839885,0.188550752978596,0.176187121694608,0.176187121694608,0.000103002395566282,0.369011373680559,0.368908371284993
G6PDH2xr,"glucose 6-phosphate dehydrogenase (NAD)",ZMO1_ZMO0367,4.96410833103712,4.81145253718009,-0.152655793857036,0.152655793857036,1990.07178333793,1989.66983326236,-0.401950075562354
FORtppi,"Formate transport via diffusion (cytoplasm to periplasm)",,0.212589703174892,0.0694661867837909,-0.143123516391101,0.143123516391101,0.000952452809336493,4.22733156930366e-05,-0.000910179493643457
EX_for_e,"Formate exchange",,0.212572655879769,0.0694661695604185,-0.14310648631935,0.14310648631935,0.000987716557155516,4.23077203835637e-05,-0.000945408836771952
FORtex,"Formate transport via diffusion (extracellular to periplasm)",,-0.2125726513575,-0.069471910662475,0.143100740695025,0.143100740695025,0.000987600181341183,3.1101445677903e-05,-0.00095649873566328
PPC,"Phosphoenolpyruvate carboxylase",ZMO1_ZMO1496,0.244778577988506,0.110804492348376,-0.13397408564013,0.13397408564013,0.000123405194224796,5.27124556343878e-06,-0.000118133948661357
PFL,"Pyruvate formate lyase",ZMO1_ZMO1570 or ZMO1_ZMO1569,0.227396495579266,0.103498352713076,-0.12389814286619,0.12389814286619,0.000705779239601093,0.00322543560736489,0.0025196563677638
POR5,"Pyruvate synthase",,-499.999819938177,-500.122978214971,-0.123158276793561,0.123158276793561,1000.00024675665,999.754006485646,-0.246240271001056
PDH,"Pyruvate dehydrogenase",ZMO1_ZMO0512 and ZMO1_ZMO1605 and ZMO1_ZMO1606 and ZMO1_ZMO0510,500,499.876997971603,-0.12300202839748,0.12300202839748,1000,999.753995943205,-0.246004056794959
FLDR2,"Flavodoxin reductase (NADPH)",ZMO1_ZMO1753 and ZMO1_ZMO1851,500,500.123002028397,0.123002028397423,0.123002028397423,1000,999.753995943205,-0.246004056794845
PYRDC,"Pyruvate decarboxylase",ZMO1_ZMO1360,500,499.876997971603,-0.123002028397423,0.123002028397423,1000,999.753995943205,-0.246004056794845
GLYAT,"Glycine C-acetyltransferase",ZMO1_ZMO1198 or ZMO1_ZMO1270 or ZMO1_ZMO1917,499.999979436947,499.87699709306,-0.122982343887372,0.122982343887372,1000.00004112611,999.815498714489,-0.18454241161669
